Stage ID,RDD ID,Name,Scope,Parent IDs,Use ExternalBlockStore,Deserialized,Use Memory,Use Disk,Replication,Number of Partitions,ExternalBlockStore Size,RddID,Memory Size,Number of Cached Partitions,Use Memory,Use Disk,Disk Size,Memory,Disk,
42,33,VertexRDD,49 zipPartitions ,16 30,false,false,false,false,1,1200,0,33,4706028448,1847,true,true,1818148828,true,true,
65,77,ReplicatedVertexView.updateVertices - shippedVerts true true (broadcast),120 mapPartitions ,75,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
65,33,VertexRDD,49 zipPartitions ,16 30,false,false,false,false,1,1200,0,33,4706028448,1847,true,true,1818148828,true,true,
76,33,VertexRDD,49 zipPartitions ,16 30,false,false,false,false,1,1200,0,33,4706028448,1847,true,true,1818148828,true,true,
78,33,VertexRDD,49 zipPartitions ,16 30,false,false,false,false,1,1200,0,33,4706028448,1847,true,true,1818148828,true,true,
114,33,VertexRDD,49 zipPartitions ,16 30,false,false,false,false,1,1200,0,33,4706028448,1847,true,true,1818148828,true,true,
128,33,VertexRDD,49 zipPartitions ,16 30,false,false,false,false,1,1200,0,33,4706028448,1847,true,true,1818148828,true,true,
129,102,EdgeRDD,159 zipPartitions ,98 101,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
130,33,VertexRDD,49 zipPartitions ,16 30,false,false,false,false,1,1200,0,33,4706028448,1847,true,true,1818148828,true,true,
41,64,EdgeRDD,91 zipPartitions ,60 63,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
78,89,MapPartitionsRDD,129 map ,87,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
12,39,ReplicatedVertexView.updateVertices - shippedVerts true true (broadcast),52 mapPartitions ,37,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
0,3,GraphLoader.edgeListFile - edges (hdfs://minli39.sl.cloud9.ibm.com:9000/SparkBench/ConnectedComponents/Input),2 mapPartitionsWithIndex ,2,false,false,false,true,1,1200,0,3,11628571984,2424,true,true,28463550142,true,true,
3,3,GraphLoader.edgeListFile - edges (hdfs://minli39.sl.cloud9.ibm.com:9000/SparkBench/ConnectedComponents/Input); EdgeRDD; EdgeRDD,2 mapPartitionsWithIndex ,2,false,true,true,true,1,1200,0,3,11628571984,2424,true,true,28463550142,true,true,
5,26,EdgeRDD,20 zipPartitions ,22 25,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
5,3,GraphLoader.edgeListFile - edges (hdfs://minli39.sl.cloud9.ibm.com:9000/SparkBench/ConnectedComponents/Input); EdgeRDD; EdgeRDD,2 mapPartitionsWithIndex ,2,false,true,true,true,1,1200,0,3,11628571984,2424,true,true,28463550142,true,true,
18,26,EdgeRDD,20 zipPartitions ,22 25,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
18,45,EdgeRDD,57 zipPartitions ,41 44,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
18,3,GraphLoader.edgeListFile - edges (hdfs://minli39.sl.cloud9.ibm.com:9000/SparkBench/ConnectedComponents/Input); EdgeRDD; EdgeRDD,2 mapPartitionsWithIndex ,2,false,true,true,true,1,1200,0,3,11628571984,2424,true,true,28463550142,true,true,
41,26,EdgeRDD,20 zipPartitions ,22 25,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
41,3,GraphLoader.edgeListFile - edges (hdfs://minli39.sl.cloud9.ibm.com:9000/SparkBench/ConnectedComponents/Input); EdgeRDD; EdgeRDD,2 mapPartitionsWithIndex ,2,false,true,true,true,1,1200,0,3,11628571984,2424,true,true,28463550142,true,true,
77,26,EdgeRDD,20 zipPartitions ,22 25,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
77,3,GraphLoader.edgeListFile - edges (hdfs://minli39.sl.cloud9.ibm.com:9000/SparkBench/ConnectedComponents/Input); EdgeRDD; EdgeRDD,2 mapPartitionsWithIndex ,2,false,true,true,true,1,1200,0,3,11628571984,2424,true,true,28463550142,true,true,
129,26,EdgeRDD,20 zipPartitions ,22 25,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
129,3,GraphLoader.edgeListFile - edges (hdfs://minli39.sl.cloud9.ibm.com:9000/SparkBench/ConnectedComponents/Input); EdgeRDD; EdgeRDD,2 mapPartitionsWithIndex ,2,false,true,true,true,1,1200,0,3,11628571984,2424,true,true,28463550142,true,true,
129,101,ShuffledRDD,158 partitionBy ,100,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
6,29,ShuffledRDD,22 partitionBy ,28,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
12,29,ShuffledRDD,22 partitionBy ,28,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
