id,stageID,executorID,host,type,executionTime,finishTime,gettingResultTime,startTime,executorRunTime,executorDeserializerTime,resultSerializationTime,shuffleWriteTime,GCTime,resultSize,memoryBytesSpilled,diskBytesSpilled,shuffleBytesWritten,shuffleRecordsWritten,dataReadMethod,bytesRead,recordsRead,shuffleRemoteBlocksFetched,shuffleLocalBlocksFetched,shuffleFetchWaitTime,shuffleRemoteBytesRead,shuffleLocalBytesRead,shuffleTotalRecordsRead,
2039,4,2,9.12.247.200,ShuffleMapTask,4693,1436924858448,0,1436924853755,4684,2,0,97406,67,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
2239,6,2,9.12.247.200,ShuffleMapTask,187,1436924894596,0,1436924894409,140,30,1,92366,0,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
2439,6,0,9.12.247.197,ShuffleMapTask,151,1436924895550,0,1436924895399,143,2,0,94184,0,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
2639,6,8,9.12.247.250,ShuffleMapTask,3431,1436924913901,0,1436924910470,3424,2,1,74072,120,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
2839,6,0,9.12.247.197,ShuffleMapTask,5826,1436924941422,0,1436924935596,5817,2,0,76909,75,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
3039,8,3,9.12.247.192,ResultTask,535,1436924968838,0,1436924968303,526,2,0,null,22,1825,0,0,null,null,Memory,108606240,1180555,null,null,null,null,null,null,
3239,8,8,9.12.247.250,ResultTask,3819,1436924974125,0,1436924970306,3811,1,0,null,22,1825,0,0,null,null,Disk,159374925,1180555,null,null,null,null,null,null,
3439,8,1,9.12.247.201,ResultTask,4572,1436924995634,0,1436924991062,4564,1,0,null,163,1825,0,0,null,null,Disk,159374925,1180555,null,null,null,null,null,null,
3639,8,1,9.12.247.201,ResultTask,4199,1436925023367,0,1436925019168,4192,2,0,null,56,1825,0,0,null,null,Disk,159374925,1180555,null,null,null,null,null,null,
39,1,4,9.12.247.208,ResultTask,27974,1436924343407,0,1436924315433,26956,961,0,null,2139,2336,0,0,null,null,Hadoop,121458212,1180555,null,null,null,null,null,null,
239,1,4,9.12.247.208,ResultTask,20738,1436924462912,0,1436924442174,20719,5,0,null,1899,2336,0,0,null,null,Hadoop,121457081,1180555,null,null,null,null,null,null,
439,1,4,9.12.247.208,ResultTask,17857,1436924580742,0,1436924562885,17839,5,0,null,781,2336,0,0,null,null,Hadoop,121453219,1180555,null,null,null,null,null,null,
639,1,5,9.12.247.196,ResultTask,20409,1436924697580,0,1436924677171,20394,5,0,null,754,2336,0,0,null,null,Hadoop,121453926,1180555,null,null,null,null,null,null,
839,2,3,9.12.247.192,ShuffleMapTask,253,1436924746052,0,1436924745799,222,8,0,289855,0,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
1039,2,1,9.12.247.201,ShuffleMapTask,8216,1436924756471,0,1436924748255,8204,4,0,76979,100,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
1239,2,7,9.12.247.186,ShuffleMapTask,3572,1436924775911,0,1436924772339,3561,4,0,68849,104,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
1439,2,0,9.12.247.197,ShuffleMapTask,3678,1436924819647,0,1436924815969,3666,3,0,93183,152,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
1639,4,0,9.12.247.197,ShuffleMapTask,165,1436924821666,0,1436924821501,152,6,0,98673,0,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
1840,4,4,9.12.247.208,ShuffleMapTask,3861,1436924834501,0,1436924830640,3852,3,0,88508,196,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
