Stage ID,Real Duration,Estimated Duration,Error,Error Percentage,Size,Error/AppDuration
84,300377,286599,13778,0.04586902459242885,25.673576389439404,0.002329331418653789
151,93455,89534,3921,0.041956021614680865,25.673576389439404,6.628907310597698E-4
152,92327,83158,9169,0.09931006097891192,25.673576389439404,0.0015501262721466535
153,252523,244649,7874,0.031181318137357784,25.673576389439404,0.0013311914349310448
31,88994,94511,5517,0.061992943344495136,25.673576389439404,9.32713125033601E-4
32,92229,100787,8558,0.09279077079877263,25.673576389439404,0.0014468296037769726
33,299968,283179,16789,0.05596930339236185,25.673576389439404,0.002838376047886374
103,93689,92519,1170,0.012488125607061662,25.673576389439404,1.978021309206658E-4
104,103063,101853,1210,0.011740391799190786,25.673576389439404,2.0456459693504752E-4
105,246514,261521,15007,0.06087686703392099,25.673576389439404,0.002537108186945668
46,93263,88193,5070,0.05436239451872661,25.673576389439404,8.571425673228851E-4
238,86543,92354,5811,0.06714581190853101,25.673576389439404,9.824172502393067E-4
47,109346,97767,11579,0.10589321968796298,25.673576389439404,0.001957564849513153
239,73363,83795,10432,0.14219702029633466,25.673576389439404,0.0017636511365507568
48,261939,273946,12007,0.04583891669434487,25.673576389439404,0.0020299232358670376
240,181117,208782,27665,0.1527465671361606,25.673576389439404,0.004677090557196769
178,89535,90912,1377,0.015379460546155134,25.673576389439404,2.3279789254509128E-4
179,68267,83073,14806,0.21688370662252626,25.673576389439404,0.0025031267952233998
180,243990,242668,1322,0.005418254846510103,25.673576389439404,2.234995017753164E-4
126,88763,90325,1562,0.017597422349402342,25.673576389439404,2.640742978616068E-4
63,89238,89204,34,3.8100360832829067E-4,25.673576389439404,5.748096112224476E-6
127,77974,102424,24450,0.31356606048169905,25.673576389439404,0.004133557351290836
0,162865,162153,712,0.004371718908298284,28.50847167056054,1.1189998153335979E-4
64,118657,119102,445,0.0037503055024145225,28.50847167056054,6.993748845834986E-5
128,266189,264445,1744,0.006551735796745921,28.50847167056054,2.7409208959856666E-4
65,268010,267074,936,0.0034924069997388156,28.50847167056054,1.4710447010565276E-4
3,69375,69819,444,0.0064,28.50847167056054,6.978032556293784E-5
4,96989,95521,1468,0.015135737042345008,28.50847167056054,2.3071513046484855E-4
5,137958,140842,2884,0.020904913089491006,28.50847167056054,4.5325779036827196E-4
6,95506,99365,3859,0.04040583837664649,28.50847167056054,6.064916133949936E-4
7,255914,250696,5218,0.020389662152129232,28.50847167056054,8.200759882599318E-4
