Stage ID,RDD ID,Name,Scope,Parent IDs,Use ExternalBlockStore,Deserialized,Use Memory,Use Disk,Replication,Number of Partitions,ExternalBlockStore Size,RddID,Memory Size,Number of Cached Partitions,Use Memory,Use Disk,Disk Size,Memory,Disk,
47,47,ShuffledRDD,71 partitionBy ,46,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
48,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
48,80,EdgeRDD,123 zipPartitions ,68 79,false,true,true,false,1,1200,0,80,94550540536,2384,true,true,55613459071,true,true,
63,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
63,80,EdgeRDD,123 zipPartitions ,68 79,false,true,true,true,1,1200,0,80,94550540536,2384,true,true,55613459071,true,true,
64,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,10784442744,2100,true,true,4110472625,true,true,
64,47,ShuffledRDD,71 partitionBy ,46,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
65,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
65,80,EdgeRDD,123 zipPartitions ,68 79,false,true,true,true,1,1200,0,80,94550540536,2384,true,true,55613459071,true,true,
82,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
82,80,EdgeRDD,123 zipPartitions ,68 79,false,false,false,false,1,1200,0,80,94550540536,2384,true,true,55613459071,true,true,
83,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,10784442744,2100,true,true,4110472625,true,true,
83,47,ShuffledRDD,71 partitionBy ,46,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
84,105,EdgeRDDImpl,null,104,false,true,true,true,1,1200,0,null,null,null,null,null,null,true,true,
84,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
84,80,EdgeRDD,123 zipPartitions ,68 79,false,false,false,false,1,1200,0,80,94550540536,2384,true,true,55613459071,true,true,
103,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
103,80,EdgeRDD,123 zipPartitions ,68 79,false,false,false,false,1,1200,0,80,94550540536,2384,true,true,55613459071,true,true,
104,47,ShuffledRDD,71 partitionBy ,46,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
104,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,10784442744,2100,true,true,4110472625,true,true,
105,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
105,80,EdgeRDD,123 zipPartitions ,68 79,false,false,false,false,1,1200,0,80,94550540536,2384,true,true,55613459071,true,true,
126,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
126,80,EdgeRDD,123 zipPartitions ,68 79,false,false,false,false,1,1200,0,80,94550540536,2384,true,true,55613459071,true,true,
127,47,ShuffledRDD,71 partitionBy ,46,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
127,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,10784442744,2100,true,true,4110472625,true,true,
128,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
128,80,EdgeRDD,123 zipPartitions ,68 79,false,false,false,false,1,1200,0,80,94550540536,2384,true,true,55613459071,true,true,
151,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
151,80,EdgeRDD,123 zipPartitions ,68 79,false,false,false,false,1,1200,0,80,94550540536,2384,true,true,55613459071,true,true,
152,132,VertexRDD,233 zipPartitions ,122 131,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
152,47,ShuffledRDD,71 partitionBy ,46,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
152,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,10784442744,2100,true,true,4110472625,true,true,
153,80,EdgeRDD,123 zipPartitions ,68 79,false,false,false,false,1,1200,0,80,94550540536,2384,true,true,55613459071,true,true,
153,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
178,80,EdgeRDD,123 zipPartitions ,68 79,false,false,false,false,1,1200,0,80,94550540536,2384,true,true,55613459071,true,true,
178,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
179,132,VertexRDD,233 zipPartitions ,122 131,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
179,47,ShuffledRDD,71 partitionBy ,46,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
179,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,10784442744,2100,true,true,4110472625,true,true,
180,80,EdgeRDD,123 zipPartitions ,68 79,false,false,false,false,1,1200,0,80,94550540536,2384,true,true,55613459071,true,true,
180,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
207,80,EdgeRDD,123 zipPartitions ,68 79,false,false,false,false,1,1200,0,80,94550540536,2384,true,true,55613459071,true,true,
207,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
208,132,VertexRDD,233 zipPartitions ,122 131,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
208,47,ShuffledRDD,71 partitionBy ,46,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
208,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,10784442744,2100,true,true,4110472625,true,true,
209,80,EdgeRDD,123 zipPartitions ,68 79,false,false,false,false,1,1200,0,80,94550540536,2384,true,true,55613459071,true,true,
209,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
238,80,EdgeRDD,123 zipPartitions ,68 79,false,false,false,false,1,1200,0,80,94550540536,2384,true,true,55613459071,true,true,
238,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
239,132,VertexRDD,233 zipPartitions ,122 131,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
239,47,ShuffledRDD,71 partitionBy ,46,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
239,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,10784442744,2100,true,true,4110472625,true,true,
240,80,EdgeRDD,123 zipPartitions ,68 79,false,false,false,false,1,1200,0,80,94550540536,2384,true,true,55613459071,true,true,
240,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,1673,0,null,null,null,null,null,null,false,false,
270,132,VertexRDD,233 zipPartitions ,122 131,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
270,47,ShuffledRDD,71 partitionBy ,46,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
270,9,VertexRDD; VertexRDD,10 mapPartitions ,8,false,true,true,true,1,1200,0,9,10784442744,2100,true,true,4110472625,true,true,
84,92,EdgeRDD,146 zipPartitions ,80 91,false,true,true,true,1,1200,0,92,93947699840,2351,true,true,54771891570,true,true,
84,67,ShuffledRDD,99 partitionBy ,66,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
103,92,EdgeRDD,146 zipPartitions ,80 91,false,false,false,false,1,1200,0,92,93947699840,2351,true,true,54771891570,true,true,
103,67,ShuffledRDD,99 partitionBy ,66,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
105,117,EdgeRDDImpl,null,116,false,true,true,true,1,1200,0,null,null,null,null,null,null,true,true,
105,92,EdgeRDD,146 zipPartitions ,80 91,false,false,false,false,1,1200,0,92,93947699840,2351,true,true,54771891570,true,true,
105,67,ShuffledRDD,99 partitionBy ,66,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
126,92,EdgeRDD,146 zipPartitions ,80 91,false,false,false,false,1,1200,0,92,93947699840,2351,true,true,54771891570,true,true,
126,67,ShuffledRDD,99 partitionBy ,66,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
128,92,EdgeRDD,146 zipPartitions ,80 91,false,false,false,false,1,1200,0,92,93947699840,2351,true,true,54771891570,true,true,
128,67,ShuffledRDD,99 partitionBy ,66,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
151,92,EdgeRDD,146 zipPartitions ,80 91,false,false,false,false,1,1200,0,92,93947699840,2351,true,true,54771891570,true,true,
151,67,ShuffledRDD,99 partitionBy ,66,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
152,131,ShuffledRDD,232 partitionBy ,130,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
153,92,EdgeRDD,146 zipPartitions ,80 91,false,false,false,false,1,1200,0,92,93947699840,2351,true,true,54771891570,true,true,
153,67,ShuffledRDD,99 partitionBy ,66,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
178,92,EdgeRDD,146 zipPartitions ,80 91,false,false,false,false,1,1200,0,92,93947699840,2351,true,true,54771891570,true,true,
178,67,ShuffledRDD,99 partitionBy ,66,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
179,131,ShuffledRDD,232 partitionBy ,130,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
180,92,EdgeRDD,146 zipPartitions ,80 91,false,false,false,false,1,1200,0,92,93947699840,2351,true,true,54771891570,true,true,
180,67,ShuffledRDD,99 partitionBy ,66,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
207,92,EdgeRDD,146 zipPartitions ,80 91,false,false,false,false,1,1200,0,92,93947699840,2351,true,true,54771891570,true,true,
207,67,ShuffledRDD,99 partitionBy ,66,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
208,156,VertexRDD,279 zipPartitions ,146 155,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
208,131,ShuffledRDD,232 partitionBy ,130,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
209,92,EdgeRDD,146 zipPartitions ,80 91,false,false,false,false,1,1200,0,92,93947699840,2351,true,true,54771891570,true,true,
209,67,ShuffledRDD,99 partitionBy ,66,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
238,92,EdgeRDD,146 zipPartitions ,80 91,false,false,false,false,1,1200,0,92,93947699840,2351,true,true,54771891570,true,true,
238,67,ShuffledRDD,99 partitionBy ,66,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
239,156,VertexRDD,279 zipPartitions ,146 155,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
239,131,ShuffledRDD,232 partitionBy ,130,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
240,92,EdgeRDD,146 zipPartitions ,80 91,false,false,false,false,1,1200,0,92,93947699840,2351,true,true,54771891570,true,true,
240,67,ShuffledRDD,99 partitionBy ,66,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
270,156,VertexRDD,279 zipPartitions ,146 155,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
270,131,ShuffledRDD,232 partitionBy ,130,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
